	identifier	file	sum_stat	description
0	8988T	data/encode/wgEncodeAwgDnaseDuke8988tUniPk.narrowPeak.gz	peak	8988T
1	AoSMC	data/encode/wgEncodeAwgDnaseDukeAosmcUniPk.narrowPeak.gz	peak	AoSMC
2	Chorion	data/encode/wgEncodeAwgDnaseDukeChorionUniPk.narrowPeak.gz	peak	Chorion
3	CLL	data/encode/wgEncodeAwgDnaseDukeCllUniPk.narrowPeak.gz	peak	CLL
4	Fibrobl	data/encode/wgEncodeAwgDnaseDukeFibroblUniPk.narrowPeak.gz	peak	Fibrobl
5	FibroP	data/encode/wgEncodeAwgDnaseDukeFibropUniPk.narrowPeak.gz	peak	FibroP
6	Gliobla	data/encode/wgEncodeAwgDnaseDukeGlioblaUniPk.narrowPeak.gz	peak	Gliobla
7	GM12891	data/encode/wgEncodeAwgDnaseDukeGm12891UniPk.narrowPeak.gz	peak	GM12891
8	GM12892	data/encode/wgEncodeAwgDnaseDukeGm12892UniPk.narrowPeak.gz	peak	GM12892
9	GM18507	data/encode/wgEncodeAwgDnaseDukeGm18507UniPk.narrowPeak.gz	peak	GM18507
10	GM19238	data/encode/wgEncodeAwgDnaseDukeGm19238UniPk.narrowPeak.gz	peak	GM19238
11	GM19239	data/encode/wgEncodeAwgDnaseDukeGm19239UniPk.narrowPeak.gz	peak	GM19239
12	GM19240	data/encode/wgEncodeAwgDnaseDukeGm19240UniPk.narrowPeak.gz	peak	GM19240
13	H9ES	data/encode/wgEncodeAwgDnaseDukeH9esUniPk.narrowPeak.gz	peak	H9ES
14	HeLa-S3_IFNa4h	data/encode/wgEncodeAwgDnaseDukeHelas3ifna4hUniPk.narrowPeak.gz	peak	HeLa-S3_IFNa4h
15	Hepatocytes	data/encode/wgEncodeAwgDnaseDukeHepatocytesUniPk.narrowPeak.gz	peak	Hepatocytes
16	HPDE6-E6E7	data/encode/wgEncodeAwgDnaseDukeHpde6e6e7UniPk.narrowPeak.gz	peak	HPDE6-E6E7
17	HSMM_emb	data/encode/wgEncodeAwgDnaseDukeHsmmembUniPk.narrowPeak.gz	peak	HSMM_emb
18	HTR8svn	data/encode/wgEncodeAwgDnaseDukeHtr8svnUniPk.narrowPeak.gz	peak	HTR8svn
19	Huh-7.5	data/encode/wgEncodeAwgDnaseDukeHuh75UniPk.narrowPeak.gz	peak	Huh-7.5
20	Huh-7	data/encode/wgEncodeAwgDnaseDukeHuh7UniPk.narrowPeak.gz	peak	Huh-7
21	iPS	data/encode/wgEncodeAwgDnaseDukeIpsUniPk.narrowPeak.gz	peak	iPS
22	Ishikawa_Estradiol	data/encode/wgEncodeAwgDnaseDukeIshikawaestradiolUniPk.narrowPeak.gz	peak	Ishikawa_Estradiol
23	Ishikawa_4OHTAM	data/encode/wgEncodeAwgDnaseDukeIshikawatamoxifenUniPk.narrowPeak.gz	peak	Ishikawa_4OHTAM
24	LNCaP_androgen	data/encode/wgEncodeAwgDnaseDukeLncapandrogenUniPk.narrowPeak.gz	peak	LNCaP_androgen
25	MCF-7_Hypoxia	data/encode/wgEncodeAwgDnaseDukeMcf7hypoxiaUniPk.narrowPeak.gz	peak	MCF-7_Hypoxia
26	Medullo	data/encode/wgEncodeAwgDnaseDukeMedulloUniPk.narrowPeak.gz	peak	Medullo
27	Melano	data/encode/wgEncodeAwgDnaseDukeMelanoUniPk.narrowPeak.gz	peak	Melano
28	Myometr	data/encode/wgEncodeAwgDnaseDukeMyometrUniPk.narrowPeak.gz	peak	Myometr
29	Osteobl	data/encode/wgEncodeAwgDnaseDukeOsteoblUniPk.narrowPeak.gz	peak	Osteobl
30	PanIsletD	data/encode/wgEncodeAwgDnaseDukePanisletdUniPk.narrowPeak.gz	peak	PanIsletD
31	PanIslets	data/encode/wgEncodeAwgDnaseDukePanisletsUniPk.narrowPeak.gz	peak	PanIslets
32	pHTE	data/encode/wgEncodeAwgDnaseDukePhteUniPk.narrowPeak.gz	peak	pHTE
33	ProgFib	data/encode/wgEncodeAwgDnaseDukeProgfibUniPk.narrowPeak.gz	peak	ProgFib
34	RWPE1	data/encode/wgEncodeAwgDnaseDukeRwpe1UniPk.narrowPeak.gz	peak	RWPE1
35	Stellate	data/encode/wgEncodeAwgDnaseDukeStellateUniPk.narrowPeak.gz	peak	Stellate
36	T-47D	data/encode/wgEncodeAwgDnaseDukeT47dUniPk.narrowPeak.gz	peak	T-47D
37	CD4_Th0	data/encode/wgEncodeAwgDnaseDukeTh0UniPk.narrowPeak.gz	peak	CD4_Th0
38	Urothelia	data/encode/wgEncodeAwgDnaseDukeUrotheliaUniPk.narrowPeak.gz	peak	Urothelia
39	Urothelia_UT189	data/encode/wgEncodeAwgDnaseDukeUrotheliaut189UniPk.narrowPeak.gz	peak	Urothelia_UT189
40	AG04449	data/encode/wgEncodeAwgDnaseUwAg04449UniPk.narrowPeak.gz	peak	AG04449
41	AG04450	data/encode/wgEncodeAwgDnaseUwAg04450UniPk.narrowPeak.gz	peak	AG04450
42	AG09309	data/encode/wgEncodeAwgDnaseUwAg09309UniPk.narrowPeak.gz	peak	AG09309
43	AG09319	data/encode/wgEncodeAwgDnaseUwAg09319UniPk.narrowPeak.gz	peak	AG09319
44	AG10803	data/encode/wgEncodeAwgDnaseUwAg10803UniPk.narrowPeak.gz	peak	AG10803
45	AoAF	data/encode/wgEncodeAwgDnaseUwAoafUniPk.narrowPeak.gz	peak	AoAF
46	BE2_C	data/encode/wgEncodeAwgDnaseUwBe2cUniPk.narrowPeak.gz	peak	BE2_C
47	BJ	data/encode/wgEncodeAwgDnaseUwBjUniPk.narrowPeak.gz	peak	BJ
48	Caco-2	data/encode/wgEncodeAwgDnaseUwCaco2UniPk.narrowPeak.gz	peak	Caco-2
49	CD20+	data/encode/wgEncodeAwgDnaseUwCd20UniPk.narrowPeak.gz	peak	CD20+
50	CD34+	data/encode/wgEncodeAwgDnaseUwCd34mobilizedUniPk.narrowPeak.gz	peak	CD34+
51	CMK	data/encode/wgEncodeAwgDnaseUwCmkUniPk.narrowPeak.gz	peak	CMK
52	GM06990	data/encode/wgEncodeAwgDnaseUwGm06990UniPk.narrowPeak.gz	peak	GM06990
53	GM12864	data/encode/wgEncodeAwgDnaseUwGm12864UniPk.narrowPeak.gz	peak	GM12864
54	GM12865	data/encode/wgEncodeAwgDnaseUwGm12865UniPk.narrowPeak.gz	peak	GM12865
55	H7-hESC	data/encode/wgEncodeAwgDnaseUwH7hescUniPk.narrowPeak.gz	peak	H7-hESC
56	HAc	data/encode/wgEncodeAwgDnaseUwHacUniPk.narrowPeak.gz	peak	HAc
57	HAEpiC	data/encode/wgEncodeAwgDnaseUwHaepicUniPk.narrowPeak.gz	peak	HAEpiC
58	HA-h	data/encode/wgEncodeAwgDnaseUwHahUniPk.narrowPeak.gz	peak	HA-h
59	HA-sp	data/encode/wgEncodeAwgDnaseUwHaspUniPk.narrowPeak.gz	peak	HA-sp
60	HBMEC	data/encode/wgEncodeAwgDnaseUwHbmecUniPk.narrowPeak.gz	peak	HBMEC
61	HCF	data/encode/wgEncodeAwgDnaseUwHcfUniPk.narrowPeak.gz	peak	HCF
62	HCFaa	data/encode/wgEncodeAwgDnaseUwHcfaaUniPk.narrowPeak.gz	peak	HCFaa
63	HCM	data/encode/wgEncodeAwgDnaseUwHcmUniPk.narrowPeak.gz	peak	HCM
64	HConF	data/encode/wgEncodeAwgDnaseUwHconfUniPk.narrowPeak.gz	peak	HConF
