index	genome	identifier	file	clip	scale	sum_stat	description
5313	1	ENCFF866ZTV	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMK/summary/coverage.w5	32	2	mean	DNASE:B6D2F1/J 416B
5314	1	ENCFF695LHM	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CML/summary/coverage.w5	32	2	mean	DNASE:BALB/cAnN A20
5315	1	ENCFF079SPZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMM/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 B cell male adult (8 weeks)
5316	1	ENCFF798VSP	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMN/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 splenic B cell male adult (8 weeks)
5317	1	ENCFF474GND	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMO/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 cerebellum male adult (8 weeks)
5318	1	ENCFF395AJZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMP/summary/coverage.w5	32	2	mean	DNASE:C57BL/6 telencephalon male adult (8 weeks)
5319	1	ENCFF990TBH	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMR/summary/coverage.w5	32	2	mean	DNASE:CD-1 c-Kit-negative CD71-positive TER-119-positive erythroid progenitor cells male embryo (14.5 days)
5320	1	ENCFF443PWY	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMS/summary/coverage.w5	32	2	mean	DNASE:CD-1 c-Kit-positive CD71-negative TER-119-negative erythroid progenitor cells male embryo (14.5 days)
5321	1	ENCFF680ZTZ	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMT/summary/coverage.w5	32	2	mean	DNASE:CD-1 c-Kit-positive CD71-positive TER-119-negative erythroid progenitor cells male embryo (14.5 days)
5322	1	ENCFF649DYS	/home/drk/tillage/datasets/mouse/dnase/encode/ENCSR000CMU/summary/coverage.w5	32	2	mean	DNASE:CD-1 c-Kit-positive CD71-positive TER-119-positive erythroid progenitor cells male embryo (14.5 days)
